森田一義,ビートたけし,明石家さんま,所ジョージ,笑福亭鶴瓶,とんねるず,ダウンタウン,ウッチャンナンチャン,爆笑問題,さまぁ～ず,今田耕司,東野幸治,江頭2:50,ネプチューン,くりぃむしちゅー,雨上がり決死隊,ナインティナイン,キャイ～ン,ココリコ,オアシズ,よゐこ,加藤浩次,千原ジュニア,カンニング,土田晃之,ケンドーコバヤシ,ロンドンブーツ,ビビる大木,タカアンドトシ,ブラックマヨネーズ,フットボールアワー,チュートリアル,バナナマン,おぎやはぎ,有吉弘行,山崎弘也,劇団ひとり,小籔千豊,アンジャッシュ,バカリズム,オードリー,ピース,平成ノブシコブシ,ウーマンラッシュアワー,NON STYLE,山里亮太,キングコング,ドランクドラゴン,インパルス,ロバート,アンガールズ,千鳥,森三中,柳原可奈子,ハリセンボン,オリエンタルラジオ,狩野英孝,ハライチ
121,6,1,4,53,9,7,4,100,60,36,7,3,25,24,20,10,10,8,15,13,6,72,11,81,15,5,20,44,1,37,28,132,70,22,63,678,7,25,11,17,72,22,6,0,5,2,13,8,24,19,5,57,35,70,25,10,65,
5,3,5,0,5,0,51,0,9,7,6,32,2,7,3,46,1,7,5,16,10,1,71,15,18,9,13,32,8,4,66,1,88,14,11,8,7,450,12,7,6,27,35,12,1,2,1,22,15,22,26,28,13,8,18,25,17,17,
2,5,12,42,3,1,25,67,19,18,24,45,2,35,36,64,10,21,15,56,32,6,17,31,45,15,18,32,28,6,50,29,33,50,57,34,25,12,729,12,43,33,51,7,2,18,3,48,16,26,23,16,71,36,84,92,34,53,
0,0,0,0,1,0,7,1,4,0,3,7,3,5,30,17,4,20,2,17,20,1,11,8,5,4,1,10,2,1,6,7,40,19,60,66,11,7,12,317,69,15,10,2,2,3,3,8,5,16,12,7,10,4,10,8,26,6,
0,8,10,5,2,0,8,157,15,7,51,6,3,26,9,65,10,13,69,28,67,5,8,18,104,17,13,15,77,3,18,14,21,15,37,198,17,6,43,69,923,42,31,9,2,18,1,58,35,60,37,15,27,10,76,32,37,30,
139,5,7,4,118,15,27,17,78,70,20,31,3,9,19,124,26,20,13,24,21,12,83,26,23,22,14,20,102,11,140,27,80,25,56,140,72,27,33,15,42,890,57,17,5,19,9,31,29,35,40,54,34,65,40,39,17,105,
2,6,14,5,5,2,10,11,53,11,11,8,1,19,33,27,9,7,6,28,21,13,26,42,19,13,36,11,18,13,58,18,45,43,69,30,22,35,51,10,31,57,536,20,6,18,2,34,9,25,54,46,37,8,37,52,37,51,
1,3,3,1,2,0,5,6,23,2,15,2,0,9,7,26,13,5,2,6,6,7,9,5,16,4,8,6,8,7,18,15,7,4,14,7,6,12,7,2,9,17,20,166,8,9,3,7,5,14,3,15,9,2,5,2,8,8,
0,0,0,1,0,1,3,0,2,4,4,3,0,1,4,2,3,0,0,2,2,2,1,2,4,2,1,0,2,3,4,1,1,0,0,1,0,1,2,2,2,5,6,8,67,5,3,1,1,2,3,5,1,0,4,3,2,3,
1,5,5,4,3,3,1,45,6,8,5,7,0,1,4,1,28,5,3,16,10,24,7,6,10,6,7,12,10,3,5,62,4,24,74,12,5,2,18,3,18,19,18,9,5,521,3,11,5,15,14,1,9,7,12,8,6,7,
1,2,3,0,1,2,4,2,1,2,2,1,1,0,2,4,4,1,1,7,2,8,3,2,2,1,3,2,2,2,7,2,2,5,5,4,2,1,3,3,1,9,2,3,3,3,68,1,3,5,1,5,4,3,1,3,4,4,
2,4,12,1,4,1,17,52,6,13,16,4,2,6,19,38,8,55,13,35,23,7,27,34,29,9,13,14,20,9,30,8,39,24,24,23,13,22,48,8,58,31,34,7,1,11,1,478,34,41,36,14,25,6,19,24,35,35,
10,5,3,3,6,0,13,38,8,8,6,3,0,1,13,7,6,6,3,9,9,3,13,9,3,8,8,13,22,8,9,5,11,8,9,10,8,15,16,5,35,29,9,5,1,5,3,34,254,36,10,12,11,7,12,21,12,13,
8,13,21,6,8,3,19,37,19,25,19,13,1,15,21,28,12,16,20,18,45,82,21,20,21,19,5,20,33,12,33,18,26,16,15,47,24,22,26,16,60,35,25,14,2,15,5,41,36,789,11,22,39,9,36,24,17,26,
14,6,5,2,11,3,16,5,86,18,12,3,4,18,15,50,5,18,13,37,23,12,22,27,17,15,20,29,13,6,68,12,51,31,43,27,19,26,23,12,37,40,54,3,3,14,1,36,10,11,476,12,15,9,44,86,52,50,
4,7,6,1,5,0,13,10,5,2,4,5,1,6,2,21,12,6,7,8,19,3,22,18,5,12,16,8,15,8,25,7,7,15,12,18,5,28,16,7,15,54,46,15,5,1,5,14,12,22,12,218,5,5,13,4,11,39,
1,7,13,5,5,1,15,126,5,8,27,14,1,22,82,21,25,22,38,67,8,23,14,14,45,11,11,20,15,11,41,38,14,16,90,20,57,13,71,10,27,34,37,9,1,9,4,25,11,39,15,5,737,47,93,29,17,11,
100,9,6,5,38,5,5,10,102,39,9,4,1,6,57,6,73,63,4,13,12,6,42,8,9,63,7,134,164,6,66,2,103,9,37,53,35,8,36,4,10,65,8,2,0,7,3,6,7,9,9,5,47,664,45,4,10,43,
6,3,14,2,8,1,18,34,13,13,18,10,3,19,19,27,15,16,9,38,10,13,14,20,27,18,15,19,76,51,26,20,53,19,31,29,70,18,84,10,76,40,37,5,4,12,1,19,12,36,44,13,93,45,897,30,25,170,
0,4,3,2,3,3,6,56,85,19,17,32,1,9,15,19,15,12,4,19,39,10,31,15,28,12,8,11,62,4,42,13,46,5,11,20,25,25,92,8,32,39,52,2,3,8,3,24,21,24,86,4,29,4,30,587,16,9,
2,1,0,0,2,7,6,20,4,3,10,3,5,10,13,53,2,15,5,29,20,4,23,39,35,14,35,36,3,4,36,13,58,32,52,30,10,17,34,26,37,17,37,8,2,6,4,35,12,17,52,11,17,10,25,16,306,24,
124,3,4,1,58,21,14,8,71,135,11,4,0,42,23,11,17,8,3,25,22,4,71,44,49,7,5,17,45,5,9,2,118,13,49,71,65,17,53,6,30,105,51,8,3,7,4,35,13,26,50,39,11,43,170,9,24,713,
